source_name,source_url,fetch_status,candidate_links_found,article_pages_opened,date_parsed_count,accepted_count,rejected_date_count,rejected_relevance_count,uncertain_date_count,failed_count,zero_result_reason,error,notes,checked_at
LANA,https://lana.gov.ly/category.php?lang=ar&id=8 | https://lana.gov.ly/ | https://lana.gov.ly/feed/,ok,33,10,32,22,1,10,0,0,,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-10T15:35:47Z
Libya 24,https://libya24.tv/category/news/ | https://libya24.tv/ | https://libya24.tv/feed/,ok,28,10,28,6,8,12,2,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-10T15:36:11Z
RNA Reportage,https://reportage.ly/ | https://reportage.ly/category/news/ | https://reportage.ly/feed/,ok,63,10,54,7,21,26,9,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-10T15:36:26Z
