source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
LANA,ar,برنت يؤكد من بنغازي دعم واشنطن لجهود توحيد المؤسسة العسكرية الليبية,,https://lana.gov.ly/post.php?lang=ar&id=359126,2026-06-10,https://lana.gov.ly/,"بنغازي 10 يونيو 2026 م (وال) - قال القائم بأعمال السفارة الأمريكية لدى ليبيا ""جيريمي بيرنت "" إنه بحث خلال لقائه أمس الثلاثاء في بنغازي مع، الفريق أول خالد حفتر، عدد من الملفات ذات الاهتمام ... إقرأ المزيد",Military & Security,Military & Security,in_range,accepted,editorial_score:55; section:Military & Security; marker:عسكرية,55,LOW,A,unique,,rejected,low_editorial_value:55<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:55<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359126,lana,
LANA,ar,حكومة الوحدة الوطنية تعقد اجتماعها العادي الثالث لعام 2026 برئاسة رئيس الحكومة عبد الحميد الدبيبة.,,https://lana.gov.ly/post.php?lang=ar&id=359121,2026-06-10,https://lana.gov.ly/,طرابلس 10 يونيو 2026 (وال)- بدأ مجلس وزراء حكومة الوحدة الوطنية عقد اجتماعه العادي الثالث لعام 2026، اليوم الاربعاء ، بطرابلس برئاسة رئيس الحكومة عبد الحميد الدبيبة. ... إقرأ المزيد,Governance & Public Services,Public Administration,in_range,accepted,editorial_score:75; section:Governance & Public Services; marker:حكومة,75,MEDIUM,A,unique,story-006,rejected,low_priority_excluded_from_final_report,low_editorial_value,approved,Reliable date inside target window and Libya-relevant,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359121,lana,
LANA,ar,القافلة الطبية الثالثة للجنوب لـ الأنف والأذن والحنجرة بودان .,,https://lana.gov.ly/post.php?lang=ar&id=359120,2026-06-10,https://lana.gov.ly/,"ودان10يونيو2026 (وال)-تواصل بمستشفى ودان العام المبادرة الطبية الثالثة للجنوب"" لليوم الثالث على التوالي لتقديم الرعاية المجانية لأهالي مناطق بلدية الجفرة ... إقرأ المزيد",Municipalities & Public Services,Municipal Services,parsed,rejected,lana_requires_explicit_libya_angle,0,,Tier 1,unique,,unreviewed,,,rejected,Rejected by Libya relevance filter,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359120,lana,not_libya_related
LANA,ar,التوقيع على اتفاقية التشغيل الموحدة لحقل I/R بحوض مرزق .,,https://lana.gov.ly/post.php?lang=ar&id=359119,2026-06-10,https://lana.gov.ly/,طرابلس 10 يونيو 2026 (وال)- تم بالمؤسسة الوطنية للنفط توقيع اتفاقية التشغيل الموحدة لحقل I/R الواقع ضمن منطقتي الامتياز NC115 وNC186 بحوض مرزق، وذلك بين الشركاء، أكاكوس للعمليات النفطية، وتوتال ... إقرأ المزيد,Economy & Energy,Other Economic News,in_range,accepted,editorial_score:89; section:Economy & Energy; marker:نفط,89,MEDIUM,A,unique,story-007,rejected,low_priority_excluded_from_final_report,low_editorial_value,approved,Reliable date inside target window and Libya-relevant,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359119,lana,
LANA,ar,فرق الشركة العامة للكهرباء تنفذ أعمال صيانة عاجلة وتحسن استقرار التغذية بعدة مدن,,https://lana.gov.ly/post.php?lang=ar&id=359118,2026-06-10,https://lana.gov.ly/,طرابلس، 10 يونيو 2026 ( وال ) – أعلنت الشركة العامة للكهرباء إنجاز سلسلة من أعمال الصيانة الطارئة والعاجلة على شبكات النقل والتوزيع في عدد من المدن والمناطق، شملت بن جواد ورأس لانوف ... إقرأ المزيد,Governance & Public Services,Public Administration,in_range,accepted,editorial_score:73; section:Governance & Public Services; marker:كهرباء,73,MEDIUM,A,unique,story-008,rejected,low_priority_excluded_from_final_report,low_editorial_value,approved,Reliable date inside target window and Libya-relevant,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359118,lana,
LANA,ar,وزارة التعليم : أكثر من 211 ألف تلميذ يؤدون أولى امتحانات شهادة التعليم الأساسي في الداخل والخارج,,https://lana.gov.ly/post.php?lang=ar&id=359117,2026-06-10,https://lana.gov.ly/,طرابلس 10 يونيو 2026م ( وال) – انطلقت اليوم الأربعاء بمختلف أنحاء ليبيا، وفي المدارس الليبية بالخارج، امتحانات الدور الأول لشهادة إتمام مرحلة التعليم الأساسي للعام ... إقرأ المزيد,Governance & Public Services,Education,in_range,accepted,editorial_score:75; section:Governance & Public Services; marker:وزارة,75,MEDIUM,A,unique,story-009,rejected,low_priority_excluded_from_final_report,low_editorial_value,approved,Reliable date inside target window and Libya-relevant,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359117,lana,
Libya 24,ar,الشاوش: المجموعة المصغرة 4+4 ستجتمع يوم 21 يونيو في تونس لمراجعة قانون انتخاب الرئيس - ليبيا 24,,https://libya24.tv/2026/06/10/30945/,2026-06-10,https://libya24.tv/category/news/,ليبيا 24 كشف ممثل حكومة الوحدة منتهية الولاية في المجموعة المصغرة 4+4، عبد الجليل الشاوش، عن موعد الاجتماع المقبل للمجموعة، مؤكداً أنه سيُعقد يوم 21 يونيو الجاري بمقر بعثة الأمم المتحدة في العاصمة التونسية تونس، ضمن الجهود المستمرة لدفع المسار السياسي والانتخابي في ليبيا. وأوضح الشاوش أن الاجتماع سيتركز على تجميع الملاحظات والمقترحات المتعلقة بقانون انتخاب رئيس الدولة، ومراجعة المواد التي ما زالت محل نقاش بين الأطراف المشاركة، بهدف معالجة الثغرات والإشكاليات القانونية التي قد تعيق الوصول إلى توا,Regional & International,International Relations,in_range,accepted,editorial_score:85; section:Regional & International; marker:تونس,85,HIGH,A,unique,story-010,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,libya_24:https://libya24.tv/2026/06/10/30945/,libya_24,
Libya 24,ar,جهود الحكومة الليبية وصندوق التنمية.. بثبات نحو إعادة إعمار المدن وتأسيس بنية تحتية متينة لمستقبل أكثر استقرارًا - ليبيا 24,,https://libya24.tv/2025/12/11/19192/,2025-12-10,https://libya24.tv/category/news/,تسير ليبيا اليوم في طريق إعمار طويل، لا يكتمل إلا بالصادقين العاملين في الميدان، أولئك الذين يرون في البناء واجبًا وطنيًا لا مجرد مشروع مؤقت. وفي هذا الطريق، تواصل الحكومة الليبية تنفيذ جهود واسعة لإعادة الحياة إلى مؤسسات الدولة، وترميم ما أفسدته سنوات الصراع، وبناء بنية تحتية قادرة على دعم الاستقرار والتنمية. تعمل الدولة على إعادة تأهيل الطرق والجسور وربط المدن بمسارات حديثة تعزز الحركة التجارية وتسهّل تنقل المواطنين، إلى جانب صيانة شبكات الكهرباء والمياه وتطوير محطات التحلية والصرف الصحي لضمان,Governance,Government,date_conflict,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,URL date differs from article metadata date; URL date conflicts with article metadata; needs editorial verification,no,libya_24:https://libya24.tv/2025/12/11/19192/,libya_24,url_date_conflict:2025-12-11
Libya 24,ar,خبراء أوروبيون: لا يوجد تفسيرًا علميًا لحرائق الأصابعة وسنقدم تقريرًا مفصلًا للجهات المختصة الأيام المقبلة - ليبيا 24,,https://libya24.tv/2025/04/14/2020/,2025-04-13,https://libya24.tv/category/news/,متابعات – ليبيا 24: أكد خبراء أوروبيون بأن حرائق منطقة الأصابعة ليست ناتجة عن أسباب بيئية، مما يترك المجال مفتوحًا لمواصلة التحقيق في الأسباب الحقيقية وراء هذه الحرائق. وبحسب تقرير لموقع روسيا اليوم تابعته ليبيا 24، فقد جاء هذا الاستنتاج عقب تحقيقات مكثفة، والتي رغم عدم تقديم تفسير علمي واضح حتى الآن، تسعى لتوضيح أسباب هذه الحرائق. وكان فريق الخبراء قد وصل مؤخرًا إلى المنطقة في مهمة ميدانية للتحقيق في سلسلة الحرائق الغامضة التي بدأت تظهر في عدة منازل بالأصابعة منذ فبراير الماضي ومازالت مستمرة حت,Politics,Politics,date_conflict,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,URL date differs from article metadata date; URL date conflicts with article metadata; needs editorial verification,no,libya_24:https://libya24.tv/2025/04/14/2020/,libya_24,url_date_conflict:2025-04-14
Libya 24,ar,الرئاسة الفلسطينية تؤكد رفضها القاطع لإقامة الاحتلال محور موراج - ليبيا 24,,https://libya24.tv/2025/04/02/1395/,2025-04-02,https://libya24.tv/category/news/,متابعات – ليبيا 24: أكدت الرئاسة الفلسطينية رفضها القاطع لما أعلنه رئيس الوزراء الإسرائيلي بنيامين نتنياهو بشأن إقامة ما يُسمى بمحور موراج لفصل مدينة رفح عن مدينة خان يونس، مؤكدة أن هذا المشروع يهدف إلى تقسيم جنوب قطاع غزة ويُعد دليلاً واضحاً على النوايا الإسرائيلية لاستمرار احتلال القطاع وتحقيق مخططاته التقسيمية. وفي بيان صدر اليوم الأربعاء وطالعته ليبيا 24، شددت الرئاسة على أن هذا المخطط الإسرائيلي مرفوض بالكامل ومُدان بشدة، إذ يتعارض مع الشرعية الدولية والقوانين الأممية التي تُقر بأن قطاع غزة,Politics,Politics,outside_date_window,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,rejected,Publication date outside target window,no,libya_24:https://libya24.tv/2025/04/02/1395/,libya_24,outside_date_window
