source,tier,candidate_links_found,article_pages_opened,verified_articles,accepted_articles,review_queue_items,rejected_articles,top_rejection_reason,status,notes
LANA,Tier 1,33,10,32,4,0,18,low_editorial_value,healthy,accepted live items
Libya 24,Tier 1,28,10,28,1,7,0,,healthy,accepted live items
RNA Reportage,Tier 1,63,10,63,0,16,0,,review_needed,Tier 1 source produced no accepted articles
