story_id,story_headline,section,priority,source_name,source_url,publication_date,discovery_source,collection_timestamp,parser_used,evidence_status,qa_status,date_status
story-001,Libya migration route reporting highlights trafficking and protection risks,Migration,HIGH,LANA,https://lana.gov.ly/post.php?lang=ar&id=359153,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,2026-06-10T15:35:47Z,lana,collected_from_source,approved,in_range
story-002,Tripoli protests raise public concern over irregular migration file,Migration,HIGH,LANA,https://lana.gov.ly/post.php?lang=ar&id=358933,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,2026-06-10T15:35:47Z,lana,collected_from_source,approved,in_range
story-002,Tripoli protests raise public concern over irregular migration file,Migration,HIGH,LANA,https://lana.gov.ly/post.php?lang=ar&id=358757,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,2026-06-10T15:35:47Z,lana,collected_from_source,approved,in_range
story-010,Libya participates in Arab election forum in Tunisia,Regional & International,HIGH,Libya 24,https://libya24.tv/2026/06/10/30945/,2026-06-10,https://libya24.tv/category/news/,2026-06-10T15:36:11Z,libya_24,collected_from_source,approved,in_range
story-003,Government reviews implementation challenges affecting Tripoli development projects,Governance & Public Services,MEDIUM,LANA,https://lana.gov.ly/post.php?lang=ar&id=359148,2026-06-10,https://lana.gov.ly/,2026-06-10T15:35:47Z,lana,collected_from_source,approved,in_range
