source_name,story_clusters,approved_articles,review_items,rejected_items,collection_timestamp
LANA,3,4,0,18,2026-06-10T15:35:47Z
Libya 24,1,1,7,0,2026-06-10T15:36:11Z
RNA Reportage,0,0,16,0,2026-06-10T15:36:26Z
