story_id,canonical_headline,summary,section,priority,relevance_score,publication_date,sources,article_urls,article_count,confidence,reason_for_inclusion,qa_status,qa_notes
story-005,Tetteh briefs African Peace and Security Council on developments in Libya,Included because it concerns UN engagement or the UN track in Libya.,United Nations,HIGH,100,2026-06-10,Libya Observer,https://libyaobserver.ly/news/tetteh-briefs-african-peace-and-security-council-developments-libya,1,100,Included because it concerns UN engagement or the UN track in Libya.,approved,Single-source story
story-001,Libya migration route reporting highlights trafficking and protection risks,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",Migration,HIGH,93,2026-06-11,Libya Observer,https://libyaobserver.ly/news/maltese-authorities-seize-cocaine-shipment-bound-libya,1,93,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",approved,Single-source story
story-004,"Libya, China review expanding security cooperation",Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,HIGH,85,2026-06-10,Libya Observer,https://libyaobserver.ly/inbrief/libya-china-review-expanding-security-cooperation,1,85,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-007,NOC signs unified operating agreement for (I/R) field with international partners,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,MEDIUM,89,2026-06-10,Libya Observer,https://libyaobserver.ly/economy/noc-signs-unified-operating-agreement-ir-field-international-partners,1,89,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-006,"Libya and Greece review strengthening bilateral cooperation, continuing dialogue on maritime delimitation",Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,85,2026-06-10,Libya Observer,https://libyaobserver.ly/news/libya-and-greece-review-strengthening-bilateral-cooperation-continuing-dialogue-maritime,1,85,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-003,"Libya, Italy hold talks on expanding defense cooperation and training programs",Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,85,2026-06-10,Libya Observer,https://libyaobserver.ly/inbrief/libya-italy-hold-talks-expanding-defense-cooperation-and-training-programs,1,85,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-002,"Egypt, Greece discuss Libya and regional stability",Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,85,2026-06-11,Libya Observer,https://libyaobserver.ly/inbrief/egypt-greece-discuss-libya-and-regional-stability,1,85,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
