source_name,fetch_status,discovery_sources,collection_timestamp,candidate_links_found,article_pages_opened,date_parsed_count,accepted_count,review_count,rejected_date_count,rejected_relevance_count,zero_result_reason,error
Libya Observer,ok,https://libyaobserver.ly/news | https://libyaobserver.ly/inbrief | https://libyaobserver.ly/economy,2026-06-14T06:50:00Z,19,4,19,16,0,0,3,,
Libya Review,ok,https://libyareview.com/category/libya/ | https://libyareview.com/ | https://libyareview.com/?s=structured+dialogue+latest | https://libyareview.com/?s=structured+dialogue+update,2026-06-14T06:50:04Z,38,7,7,0,31,7,0,all_items_outside_date_window,
