source_name,story_clusters,approved_articles,review_items,rejected_items,collection_timestamp
Al Wasat,0,0,42,0,2026-06-09T09:26:23Z
Ean Libya,1,2,17,2,2026-06-09T09:26:34Z
Libya Review,0,0,21,0,2026-06-09T09:26:49Z
