source_name,headline,article_url,publication_date,discovery_source,collection_timestamp,audit_status,reason,qa_status,date_status
Al Wasat,ليبيا: نقطة عبور أم محطة احتواء للمهاجرين؟,https://alwasat.ly/news/opinions/520731?author=1,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,ليبيا بحاجة إلى توطين مواطنيها لا توطين المهاجرين!,https://alwasat.ly/news/opinions/520412?author=1,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,الأهلي طرابلس والأهلي بنغازي في نهائي تاريخي جديد لكأس ليبيا,https://alwasat.ly/news/libya-sports/520883,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,خطوة قوية في سوق الانتقالات.. المدينة يضم محمد الكستا لتعزيز خط الوسط,https://alwasat.ly/news/libya-sports/520882,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,6 كوادر ليبية تتقلد مناصب عربية في اتحاد الدراجات,https://alwasat.ly/news/libya-sports/520881,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,ليبيا تستعد لانطلاق الملتقى الوطني الأول لمدراء مكاتب النشاط المدرسي,https://alwasat.ly/news/libya-sports/520879,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,بعد 38 مشاركة تاريخية.. السويحلي يعتلي القمة ...,https://alwasat.ly/news/libya-sports/520877,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,«ملعب الوسط» يفتح كل الملفات قبل نهائي كأس ليبيا ...,https://alwasat.ly/news/libya-sports/520875,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,بيريز يحسم المعركة الانتخابية في ريال مدريد ويُعيد...,https://alwasat.ly/news/international-sports/520860,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,«إنفيديا» الأميركية تعلن عن اتفاقات في مجال الذكاء الصناعي بكوريا الجنوبية,https://alwasat.ly/news/economy/520854,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,«اتحاد النقل الجوي»: نمو متوقع في 2026 على الرغم من ارتفاع أسعار الوقود,https://alwasat.ly/news/economy/520837,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,بين حرق المحاصيل وسرقة الماشية.. مزارعون فلسطينيون يسرعون إلى الحصاد في مواجهة عنف ...,https://alwasat.ly/news/economy/520826,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,«شلاتين» تستهدف رفع تسليمات الذهب إلى «المركزي المصري» 20% في نهاية 2026,https://alwasat.ly/news/economy/520742,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,188 ألف برميل يوميًا.. «أوبك بلس» يقرر زيادة حصص الإنتاج في يوليو,https://alwasat.ly/news/economy/520729,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,دول خليجية تبحث إنشاء خطوط نفطية جديدة لتجاوز المرور بمضيق هرمز,https://alwasat.ly/news/economy/520721,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,الفنان الليبي مراد عثمان ينجز لوحة «سيرين - قورينا.. مروضة ...,https://alwasat.ly/news/art-culture/520713,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,«هيئة السينما» بالجفارة: تشكيل لجنة أمنية لوضع خطة تأمين ...,https://alwasat.ly/news/art-culture/520710,,https://alwasat.ly/,2026-06-09T09:26:23Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,بعد حصد اللقب الأول.. الدبيبة يكرّم أبطال السويحلي,https://www.eanlibya.com/%d8%a8%d8%b9%d8%af-%d8%ad%d8%b5%d8%af-%d8%a7%d9%84%d9%84%d9%82%d8%a8-%d8%a7%d9%84%d8%a3%d9%88%d9%84-%d8%a7%d9%84%d8%af%d8%a8%d9%8a%d8%a8%d8%a9-%d9%8a%d9%83%d8%b1%d9%91%d9%85-%d8%a3%d8%a8%d8%b7%d8%a7/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,بمشاركة ليبيا.. تونس تستضيف لقاءً عربياً لتعزيز «دور الشباب» بالانتخابات,https://www.eanlibya.com/%d8%a8%d9%85%d8%b4%d8%a7%d8%b1%d9%83%d8%a9-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%aa%d9%88%d9%86%d8%b3-%d8%aa%d8%b3%d8%aa%d8%b6%d9%8a%d9%81-%d9%84%d9%82%d8%a7%d8%a1%d9%8b-%d8%b9%d8%b1%d8%a8%d9%8a%d8%a7/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,إثيوبيا.. الانتخابات واختبار الدولة الحديثة,https://www.eanlibya.com/%d8%a5%d8%ab%d9%8a%d9%88%d8%a8%d9%8a%d8%a7-%d8%a7%d9%84%d8%a7%d9%86%d8%aa%d8%ae%d8%a7%d8%a8%d8%a7%d8%aa-%d9%88%d8%a7%d8%ae%d8%aa%d8%a8%d8%a7%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d9%84%d8%a9-%d8%a7%d9%84/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,مشروع توطين الأفارقة في ليبيا بين مطرقة الغرب وسندان الوطن,https://www.eanlibya.com/%d9%85%d8%b4%d8%b1%d9%88%d8%b9-%d8%aa%d9%88%d8%b7%d9%8a%d9%86-%d8%a7%d9%84%d8%a3%d9%81%d8%a7%d8%b1%d9%82%d8%a9-%d9%81%d9%8a-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%a8%d9%8a%d9%86-%d9%85%d8%b7%d8%b1%d9%82/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,سياسات الدعم في ليبيا إلى أين.. ما بين واقع أليم وتظليل وقلب للحقائق,https://www.eanlibya.com/%d8%b3%d9%8a%d8%a7%d8%b3%d8%a7%d8%aa-%d8%a7%d9%84%d8%af%d8%b9%d9%85-%d9%81%d9%8a-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%a5%d9%84%d9%89-%d8%a3%d9%8a%d9%86-%d9%85%d8%a7-%d8%a8%d9%8a%d9%86-%d9%88%d8%a7/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,الوثيقة الوطنية الليبية للهجرة واللجوء والعمالة الوافدة والأمن الديموغرافي,https://www.eanlibya.com/%d8%a7%d9%84%d9%88%d8%ab%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d9%88%d8%b7%d9%86%d9%8a%d8%a9-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%84%d9%84%d9%87%d8%ac%d8%b1%d8%a9-%d9%88%d8%a7%d9%84%d9%84%d8%ac/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
