headline,source,promoted,promotion_reason,recovered_date,theme,narrative_type
تحرير مديرية أمن أجدابيا، أكثر من 100 مهاجر غير شرعي محتجزين داخل مزرعة,Al Saaa 24,no,not_promoted:date_recovery_failed,,Migration Policy,development
"""الكتيبة 87 تدخل سريع"" تعلن فتح باب التجنيد لمن يرغب في الالتحاق بصفوفها",Al Saaa 24,no,not_promoted:date_recovery_failed,,Migration Policy,statement
مؤشر عالمي صادم.. طرابلس آخر مدن العالم قابلية للعيش,Al Saaa 24,no,not_promoted:date_recovery_failed,,Migration Policy,development
الرئيس الجزائري: ليس لدينا فائدة في تأزيم الأمور في ليبيا,Al Saaa 24,no,not_promoted:date_recovery_failed,,Migration Policy,development
اللواء عادل عبدالعزيز يكشف عن ضبط كمية كبيرة من مادة الحشيش المخدرة,Al Saaa 24,no,not_promoted:date_recovery_failed,,Migration Policy,development
Egypt reiterates support for Libya’s unity in talks with Malta,Libya Observer,no,not_promoted:date_recovery_failed,,International Relations,reaction_support
Head of Libya's Presidential Council receives Swiss Foreign Ministry delegation,Libya Observer,no,not_promoted:date_recovery_failed,,Other Political News,development
Libya falls to 4th place among Africa’s largest importers of Brazilian meat,Libya Observer,no,not_promoted:date_recovery_failed,,Society,development
Libyan oil reaches new African markets,Libya Observer,no,not_promoted:date_recovery_failed,,Oil & Energy,economy_sub_story
Tripoli’s tuna season through the eyes of an old captain,Libya Observer,no,not_promoted:date_recovery_failed,,Society,development
Libya’s blue gold: Inside tuna season,Libya Observer,no,not_promoted:date_recovery_failed,,Society,development
Osban bil dahi: The next-day Libyan comfort dish,Libya Observer,no,not_promoted:date_recovery_failed,,Culture,development
The Nightmare of Libya’s Electricity Crisis: Between Supply Shortages and Institutional Labyrinths,Libya Observer,no,not_promoted:date_recovery_failed,,Infrastructure & Reconstruction,economy_sub_story
Budget and Reconstruction in Libya: Are the Rules of the Game Changing?,Libya Observer,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
Libya: Has the Stability of the Dinar Become a Security Issue?,Libya Observer,no,not_promoted:date_recovery_failed,,Society,development
ضبط تاجر مخدرات في زليتن,Al Wasat,no,not_promoted:date_recovery_failed,,Crime & Enforcement,development
العثور على كميات كبيرة من مخلفات الحرب في غريان,Al Wasat,no,not_promoted:date_recovery_failed,,Society,development
«وسط الخبر» يناقش تداعيات الحادث السيبراني على أنظمة وخدمات «المركزي»,Al Wasat,no,not_promoted:date_recovery_failed,,Public Administration,meeting
نيجيريا ومصر وتونس تستورد النفط الليبي للمرة الأولى منذ سنوات.. ما السبب؟,Al Wasat,yes,review_queue_recovered:article_text; narrative_type=economy_sub_story; theme=Other Economic News; marker=النفط,2026-06-17,Other Economic News,economy_sub_story
مغلقة منذ 1993.. توضيح روسي بشأن افتتاح قنصليتها في بنغازي,Al Wasat,yes,review_queue_recovered:article_text; narrative_type=economy_sub_story; theme=Other Economic News; marker=غاز,2026-06-17,Other Economic News,economy_sub_story
اجتماع ثلاثي في طرابلس لبحث تأمين الحدود المشتركة بين ليبيا وتونس والجزائر,Al Wasat,no,not_promoted:date_recovery_failed,,International Relations,meeting
الدبيبة يلزم 6 جهات أمنية بتقديم تقارير شهرية مفصلة عن أعمالها وأنشطتها,Al Wasat,no,not_promoted:date_recovery_failed,,Security Developments,development
«تغطية خاصة»: اتهامات التوطين وملف المهاجرين يشعل الشارع الليبي,Al Wasat,no,not_promoted:date_recovery_failed,,Migration Policy,development
«وسط الخبر»: إحاطة تيتيه أمام مجلس الأمن.. هل يفتح الحوار المهيكل نافذة أخيرة؟,Al Wasat,no,not_promoted:date_recovery_failed,,Political Process,development
«هنا ليبيا»: استياء من نقص السيولة في المرج,Al Wasat,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
خلال افتتاح معرض «إيبكس 2026».. «المركزي» يطلق تقنية «SoftPOS» لأول مرة في ليبيا,Al Wasat,no,not_promoted:date_recovery_failed,,Society,development
افتتاح معرض ليبيا الدولي للدفع الإلكتروني «إيبكس 2026» (فيديو),Al Wasat,no,not_promoted:date_recovery_failed,,Society,development
الوعي الزائف والانتخابات في ليبيا,Al Wasat,no,not_promoted:date_recovery_failed,,Political Process,development
الأهلي بنغازي يدعم صفوفه بـ«بوني ومغيلي» استعدادا للموسم الجديد,Al Wasat,no,not_promoted:date_recovery_failed,,Infrastructure & Reconstruction,reaction_support
يوميات مونديالية (4).. زيارة تاريخية إلى بنغازي ...,Al Wasat,no,not_promoted:date_recovery_failed,,Infrastructure & Reconstruction,economy_sub_story
من بنغازي.. انطلاق الاتحاد العربي لكرة القدم ...,Al Wasat,no,not_promoted:date_recovery_failed,,Infrastructure & Reconstruction,economy_sub_story
«فرانس برس»: تونس تنظم رحلات شبه يومية لترحيل المهاجرين,Al Wasat,no,not_promoted:date_recovery_failed,,Deportation & Enforcement,development
أسعار النفط تتراجع وسط ترقب لتدفق الإمدادات عبر مضيق هرمز,Al Wasat,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
احتياطي النفط الاستراتيجي الأميركي يسجل أدنى مستوياته منذ العام 1983,Al Wasat,yes,review_queue_recovered:article_text; narrative_type=economy_sub_story; theme=Other Economic News; marker=النفط,2026-06-17,Other Economic News,economy_sub_story
اعتماد «مصراتة لأمراض القلب» كمركز تدريبي لبرامج الزمالة ...,Al Wasat,no,not_promoted:date_recovery_failed,,International Relations,diplomatic_context
«تراثي هويتي» تناقش مستقبل الزي الطرابلسي بين الأصالة ...,Al Wasat,no,not_promoted:date_recovery_failed,,Culture,meeting
جلسة توعوية في بنغازي لمناسبة «اليوم العالمي للتصحر 2026»,Al Wasat,yes,review_queue_recovered:article_text; narrative_type=economy_sub_story; theme=Other Economic News; marker=غاز,2026-06-17,Other Economic News,economy_sub_story
UNSMIL Launches Interactive Talks on Libya’s Future Roadmap,Libya Review,no,not_promoted:date_recovery_failed,,Other Political News,reaction_support
Libyan MP Criticises UNSMIL for Interfering in National Sovereignty,Libya Review,no,not_promoted:date_recovery_failed,,Other Political News,reaction_support
UNSMIL Denies Authority to Appoint or Dismiss Libyan Governments,Libya Review,no,not_promoted:date_recovery_failed,,Other UN News,reaction_support
Libyan PM Blames UNSMIL for Deepening Libyan Crisis,Libya Review,no,not_promoted:date_recovery_failed,,Government Affairs,reaction_support
UNSMIL Supports Libya’s National Anti-Corruption Strategy,Libya Review,yes,review_queue_recovered:article_text; narrative_type=reaction_support; theme=Other UN News; marker=unsmil,2026-06-17,Other UN News,reaction_support
UNSMIL Discuss Libya’s Transition with Libyan MPs,Libya Review,no,not_promoted:date_recovery_failed,,Other UN News,reaction_support
Libya’s NIHRL Condemns Calls to Close IOM Office,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,reaction_opposition
Libya Hosts Trilateral Meeting with Algeria & Tunisia to Tackle Smuggling & Migration,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,meeting
Why Are Nigeria & Egypt & Tunisia Importing Libyan Oil Again?,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,economy_sub_story
South Korea Orders Deportation of Libyan National Over $62 Million Crypto Scheme,Libya Review,no,not_promoted:date_recovery_failed,,Deportation & Enforcement,development
Asia-Africa Parliamentary Council Ends in Benghazi,Libya Review,no,not_promoted:date_recovery_failed,,International Relations,diplomatic_context
Libya Releases 12 Tunisian Nationals,Libya Review,no,not_promoted:date_recovery_failed,,Society,development
Libyan Minister Urges Moroccan Investors to Explore Opportunities in Benghazi,Libya Review,no,not_promoted:date_recovery_failed,,Public Administration,public_services_item
Al-Ahly Benghazi Strengthens Squad with Two Foreign Signings Ahead of New Season,Libya Update,no,not_promoted:date_recovery_failed,,Society,development
Libyan Investment Authority Announces Growth of Financial Assets to $51.8 Billion in First Quarter of 2026,Libya Update,no,not_promoted:date_recovery_failed,,Other Economic News,statement
FAO Holds Session in Sebha to Promote Groundwater Conservation and Protect Water Reserves,Libya Update,no,not_promoted:date_recovery_failed,,Water & Climate,development
