story_id,headline,old_section,new_section,reason
story-138,Libya political track raised in UN Security Council context,Politics,United Nations,un security council
story-113,Libyan security authorities report local arrest operation,Politics,Military & Security,arrest
story-081,Libya participates in Arab election forum in Tunisia,Varieties,Politics,election
story-032,Libya political track raised in UN Security Council context,Politics,United Nations,un security council
story-030,Libyan security authorities report local arrest operation,Politics,Military & Security,arrest
