section,sources_checked,sources_checked_count,approved_articles,story_clusters,targeted_recovery_run,status
United Nations,address_libya; akhbar_libya_24; al_ain; al_jazeera_ar_libya; al_marsad; al_menassa; al_sabaah; al_shahed; al_wasat; anadolu_agency; ap; arabi21; asharq_al_awsat; bbc; ean_libya; fawasel_media; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; libya_review; libya_update; new_arab; reuters; rna_reportage; tanasuh,27,2,2,yes,complete
Politics,akhbar_libya_24; al_marsad; al_menassa; al_sabaah; al_wasat; ean_libya; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; libya_review; rna_reportage,13,2,2,yes,weak_after_targeted_search
Military & Security,address_libya; al_marsad; al_menassa; al_sabaah; al_wasat; ean_libya; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; libya_review; rna_reportage,13,2,2,yes,weak_after_targeted_search
Human Rights & Rule of Law,address_libya; al_marsad; al_menassa; al_sabaah; al_wasat; ean_libya; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; libya_review; rna_reportage,13,3,3,yes,complete
Economy & Energy,address_libya; al_menassa; al_sabaah; al_wasat; ean_libya; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; libya_review; libya_update; rna_reportage,13,16,15,yes,complete
Environment,al_menassa; al_sabaah; al_wasat; ean_libya; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; rna_reportage,10,0,0,yes,empty_after_targeted_search
Regional & International,address_libya; akhbar_libya_24; al_ain; al_jazeera_ar_libya; al_marsad; al_menassa; al_sabaah; al_shahed; al_wasat; anadolu_agency; ap; arabi21; asharq_al_awsat; bbc; ean_libya; fawasel_media; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; libya_review; libya_update; new_arab; reuters; rna_reportage; tanasuh,27,5,4,yes,complete
Varieties,al_jazeera_ar_libya; al_menassa; al_sabaah; al_wasat; arabi21; asharq_al_awsat; ean_libya; lana; libya_24; libya_al_ahrar; libya_herald; libya_observer; libya_review; new_arab; rna_reportage,15,1,1,yes,complete
