source_name,story_clusters,approved_articles,review_items,rejected_items,collection_timestamp
Address Libya,0,0,1,0,2026-06-17T10:38:46Z
Al Ain,0,0,1,0,2026-06-17T10:41:54Z
Al Jazeera Arabic - Libya,0,0,1,0,2026-06-17T10:45:17Z
Al Saaa 24,0,0,9,0,2026-06-17T10:40:37Z
Al Wasat,0,0,8,0,2026-06-17T10:36:33Z
Ean Libya,0,0,12,0,2026-06-17T10:37:02Z
Fawasel Media,0,0,2,0,2026-06-17T10:40:06Z
Libya 24,0,0,1,0,2026-06-17T10:37:50Z
Libya Herald,0,0,1,0,2026-06-17T10:38:01Z
Libya Review,0,0,19,0,2026-06-17T10:38:25Z
Libya Update,0,0,7,0,2026-06-17T10:39:27Z
RNA Reportage,0,0,9,0,2026-06-17T10:38:11Z
