section,sources_checked,sources_checked_count,approved_articles,story_clusters,targeted_recovery_run,status
United Nations,,0,0,0,no,not_searched
Politics,,0,0,0,no,not_searched
Military & Security,,0,0,0,no,not_searched
Human Rights & Rule of Law,,0,0,0,no,not_searched
Economy & Energy,,0,1,1,no,not_searched
Environment,,0,0,0,no,not_searched
Regional & International,,0,0,0,no,not_searched
Varieties,,0,0,0,no,not_searched
