source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Ean Libya,ar,النهوض بالاستثمار في الداخل,,https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%87%d9%88%d8%b6-%d8%a8%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1-%d9%81%d9%8a-%d8%a7%d9%84%d8%af%d8%a7%d8%ae%d9%84/,,https://www.eanlibya.com/,,Economy,Other Economy news,missing_date,accepted,libya_source_topic_weighted:Economy:استثمار; score:4,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%87%d9%88%d8%b6-%d8%a8%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1-%d9%81%d9%8a-%d8%a7%d9%84%d8%af%d8%a7%d8%ae%d9%84/,ean_libya,missing_date
Ean Libya,ar,المعالجة الجذرية لملف الهجرة,,https://www.eanlibya.com/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%84%d8%ac%d8%a9-%d8%a7%d9%84%d8%ac%d8%b0%d8%b1%d9%8a%d8%a9-%d9%84%d9%85%d9%84%d9%81-%d8%a7%d9%84%d9%87%d8%ac%d8%b1%d8%a9/,,https://www.eanlibya.com/,,Migration,Migration,missing_date,accepted,weighted_libya_score:6; keyword_match:هجرة,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%84%d8%ac%d8%a9-%d8%a7%d9%84%d8%ac%d8%b0%d8%b1%d9%8a%d8%a9-%d9%84%d9%85%d9%84%d9%81-%d8%a7%d9%84%d9%87%d8%ac%d8%b1%d8%a9/,ean_libya,missing_date
Ean Libya,ar,محاولات للاستيلاء على أموال ليبية في فرنسا,,https://www.eanlibya.com/%d9%85%d8%ad%d8%a7%d9%88%d9%84%d8%a7%d8%aa-%d9%84%d9%84%d8%a7%d8%b3%d8%aa%d9%8a%d9%84%d8%a7%d8%a1-%d8%b9%d9%84%d9%89-%d8%a3%d9%85%d9%88%d8%a7%d9%84-%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d9%81/,,https://www.eanlibya.com/,,Other,Other Other news,missing_date,accepted,weighted_libya_score:9; keyword_match:ليبي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%85%d8%ad%d8%a7%d9%88%d9%84%d8%a7%d8%aa-%d9%84%d9%84%d8%a7%d8%b3%d8%aa%d9%8a%d9%84%d8%a7%d8%a1-%d8%b9%d9%84%d9%89-%d8%a3%d9%85%d9%88%d8%a7%d9%84-%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d9%81/,ean_libya,missing_date
Ean Libya,ar,تركيا تستعد لأكبر «تغيير إداري» في تاريخها الحديث,,https://www.eanlibya.com/%d8%aa%d8%b1%d9%83%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d8%b9%d8%af-%d9%84%d8%a3%d9%83%d8%a8%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%a5%d8%af%d8%a7%d8%b1%d9%8a-%d9%81%d9%8a-%d8%aa%d8%a7%d8%b1/,,https://www.eanlibya.com/,,Regional & International,Other Regional & International news,missing_date,accepted,libya_source_topic_weighted:Regional & International:تركيا; score:4,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%aa%d8%b1%d9%83%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d8%b9%d8%af-%d9%84%d8%a3%d9%83%d8%a8%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%a5%d8%af%d8%a7%d8%b1%d9%8a-%d9%81%d9%8a-%d8%aa%d8%a7%d8%b1/,ean_libya,missing_date
Ean Libya,ar,النفط بين التفاؤل والحذر.. ماذا عن الذهب؟,,https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%81%d8%b7-%d8%a8%d9%8a%d9%86-%d8%a7%d9%84%d8%aa%d9%81%d8%a7%d8%a4%d9%84-%d9%88%d8%a7%d9%84%d8%ad%d8%b0%d8%b1-%d9%87%d8%b1%d9%85%d8%b2-%d9%8a%d9%85%d8%b3%d9%83-%d8%a8/,,https://www.eanlibya.com/,,Economy,Oil & Energy,missing_date,accepted,weighted_libya_score:6; keyword_match:نفط,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%81%d8%b7-%d8%a8%d9%8a%d9%86-%d8%a7%d9%84%d8%aa%d9%81%d8%a7%d8%a4%d9%84-%d9%88%d8%a7%d9%84%d8%ad%d8%b0%d8%b1-%d9%87%d8%b1%d9%85%d8%b2-%d9%8a%d9%85%d8%b3%d9%83-%d8%a8/,ean_libya,missing_date
Ean Libya,ar,ليبيا تستقبل «مومياء تخرخوري» بعد ترميمها,,https://www.eanlibya.com/%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d9%82%d8%a8%d9%84-%d9%85%d9%88%d9%85%d9%8a%d8%a7%d8%a1-%d8%aa%d8%ae%d8%b1%d8%ae%d9%88%d8%b1%d9%8a-%d8%a8%d8%b9%d8%af-%d8%aa%d8%b1%d9%85/,,https://www.eanlibya.com/,,Other,Other Other news,missing_date,accepted,weighted_libya_score:17; keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d9%82%d8%a8%d9%84-%d9%85%d9%88%d9%85%d9%8a%d8%a7%d8%a1-%d8%aa%d8%ae%d8%b1%d8%ae%d9%88%d8%b1%d9%8a-%d8%a8%d8%b9%d8%af-%d8%aa%d8%b1%d9%85/,ean_libya,missing_date
Ean Libya,ar,بعد اختفاء ملياري يورو من حسابات ليبيا.. «علي محمود» يرفض المثول أمام القضاء,,https://www.eanlibya.com/%d8%a8%d8%b9%d8%af-%d8%a7%d8%ae%d8%aa%d9%81%d8%a7%d8%a1-%d9%85%d9%84%d9%8a%d8%a7%d8%b1%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-%d9%85%d9%86-%d8%ad%d8%b3%d8%a7%d8%a8%d8%a7%d8%aa-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7/,,https://www.eanlibya.com/,,Other,Other Other news,missing_date,accepted,weighted_libya_score:15; keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%a8%d8%b9%d8%af-%d8%a7%d8%ae%d8%aa%d9%81%d8%a7%d8%a1-%d9%85%d9%84%d9%8a%d8%a7%d8%b1%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-%d9%85%d9%86-%d8%ad%d8%b3%d8%a7%d8%a8%d8%a7%d8%aa-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7/,ean_libya,missing_date
Ean Libya,ar,ديوان المحاسبة يكشف عن مخالفات مؤسسة الاستثمار,,https://www.eanlibya.com/%d8%af%d9%8a%d9%88%d8%a7%d9%86-%d8%a7%d9%84%d9%85%d8%ad%d8%a7%d8%b3%d8%a8%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%85%d8%ae%d8%a7%d9%84%d9%81%d8%a7%d8%aa-%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7/,,https://www.eanlibya.com/,,Economy,Other Economy news,missing_date,accepted,weighted_libya_score:10; keyword_match:ديوان المحاسبة,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%af%d9%8a%d9%88%d8%a7%d9%86-%d8%a7%d9%84%d9%85%d8%ad%d8%a7%d8%b3%d8%a8%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%85%d8%ae%d8%a7%d9%84%d9%81%d8%a7%d8%aa-%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7/,ean_libya,missing_date
Ean Libya,ar,خلال عقد من الزمن.. المؤسسة الليبية للاستثمار تُخيب الآمال بتحقيق مكاسب ضئيلة,,https://www.eanlibya.com/%d8%ae%d9%84%d8%a7%d9%84-%d8%b9%d9%82%d8%af-%d9%85%d9%86-%d8%a7%d9%84%d8%b2%d9%85%d9%86-%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%b3/,,https://www.eanlibya.com/,,Economy,Other Economy news,missing_date,accepted,weighted_libya_score:22; keyword_match:ليبي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d8%ae%d9%84%d8%a7%d9%84-%d8%b9%d9%82%d8%af-%d9%85%d9%86-%d8%a7%d9%84%d8%b2%d9%85%d9%86-%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%b3/,ean_libya,missing_date
Ean Libya,ar,مصادر تكشف عن قرب صدور قرار تغيير رئيس المؤسسة الليبية للاستثمار,,https://www.eanlibya.com/%d9%85%d8%b5%d8%a7%d8%af%d8%b1-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%82%d8%b1%d8%a8-%d8%b5%d8%af%d9%88%d8%b1-%d9%82%d8%b1%d8%a7%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%b1%d8%a6%d9%8a%d8%b3-%d8%a7/,,https://www.eanlibya.com/,,Economy,Other Economy news,missing_date,accepted,weighted_libya_score:22; keyword_match:ليبي,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,ean_libya:https://www.eanlibya.com/%d9%85%d8%b5%d8%a7%d8%af%d8%b1-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%82%d8%b1%d8%a8-%d8%b5%d8%af%d9%88%d8%b1-%d9%82%d8%b1%d8%a7%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%b1%d8%a6%d9%8a%d8%b3-%d8%a7/,ean_libya,missing_date
