headline,source,promoted,promotion_reason,recovered_date,theme,narrative_type
National Oil Corporation Signs Memorandum of Understanding with PMI to Enhance Training and Implement Project Management Standards,Libya Update,no,not_promoted:date_recovery_failed,,Oil & Energy,decision
تعداد سكان ليبيا 8.7 ملايين .. هل العدد حقيقي؟,Fawasel Media,no,not_promoted:date_recovery_failed,,Society,development
تعرف على حوض غدامس الغني بالنفط والغاز والموارد الطبيعية,Fawasel Media,no,not_promoted:date_recovery_failed,,Other Economic News,economy_sub_story
نجل الدبيبة: قررت الاستقالة من إدارة نادي الاتحاد والعودة إلى موقعي بين الجماهير,Al Saaa 24,no,not_promoted:not_active_theme,,Public Administration,statement
يوفنتوس يزاحم الهلال على نجم ليفربول,Al Saaa 24,no,not_promoted:not_active_theme,,Public Administration,public_services_item
في ذكرى معركة الكرامة بقيادة المشير اركان حرب خليفة حفتر. نفتح تفاصيل الانتصار على الارهاب,Al Saaa 24,no,not_promoted:not_active_theme,,Migration Policy,development
تحرير مديرية أمن أجدابيا، أكثر من 100 مهاجر غير شرعي محتجزين داخل مزرعة,Al Saaa 24,no,not_promoted:not_active_theme,,Migration Policy,development
"""الكتيبة 87 تدخل سريع"" تعلن فتح باب التجنيد لمن يرغب في الالتحاق بصفوفها",Al Saaa 24,no,not_promoted:not_active_theme,,Migration Policy,statement
مؤشر عالمي صادم.. طرابلس آخر مدن العالم قابلية للعيش,Al Saaa 24,no,not_promoted:not_active_theme,,Migration Policy,development
الرئيس الجزائري: ليس لدينا فائدة في تأزيم الأمور في ليبيا,Al Saaa 24,no,not_promoted:not_active_theme,,Migration Policy,development
اللواء عادل عبدالعزيز يكشف عن ضبط كمية كبيرة من مادة الحشيش المخدرة,Al Saaa 24,no,not_promoted:not_active_theme,,Migration Policy,development
